Property_ID,Property_Name,Listing_Type,Property_Type,County,Estate,Sub_Location,Price_KES,Price_Category,Bedrooms,Bathrooms,Size_SQM,Furnished,Parking,Security_Rating,Water_Supply,Electricity,Internet,Pets_Allowed,Swimming_Pool,Gym,Garden,Balcony,Elevator,School_Nearby,Hospital_Nearby,Shopping_Centre,Public_Transport,Distance_CBD_KM,Family_Friendly,Student_Friendly,Traffic_Level,Noise_Level,Flood_Risk,Gated_Community,CCTV,Latitude,Longitude,Google_Maps_Link,Interactive_StreetView_Link,Image_Path
P001,Chaka Road Serviced Apartments,Rent,Apartment,Nairobi,Kilimani,Chaka Road,180000,Luxury,2,2,120,Fully,Yes,Excellent,Reliable,Reliable,Fibre,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yaya Centre,Excellent,4.5,Yes,No,Medium,Medium,Low,Yes,Yes,-1.283817,36.77175,"https://www.google.com/maps?q=-1.283817,36.77175","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.283817,36.77175",images/Chaka Road Serviced Apartments - P001.png
P002,Rosewood Residency Kilimani,Rent,Apartment,Nairobi,Kilimani,Kilimani,120000,Mid-range,2,2,100,Unfurnished,Yes,Excellent,Reliable,Reliable,Fibre,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yaya Centre,Good,5.0,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.294749,36.777696,"https://www.google.com/maps?q=-1.294749,36.777696","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.294749,36.777696",images/Rosewood Residency Kilimani - P002.png
P003,Wood Avenue Towers,Rent,Apartment,Nairobi,Kilimani,Kilimani,55000,Budget,1,1,40,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Near Malls,Good,4.5,No,Yes,Medium,Low,Low,Yes,Yes,-1.280906,36.791301,"https://www.google.com/maps?q=-1.280906,36.791301","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.280906,36.791301",images/Wood Avenue Towers - P003.png
P004,Windy Ridge Gated Manor,Sale,Villa,Nairobi,Karen,Karen,200000000,Luxury,5,5+,702,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,The Hub Karen,Poor,15.0,Yes,No,Low,Low,Low,Yes,Yes,-1.320235,36.694608,"https://www.google.com/maps?q=-1.320235,36.694608","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.320235,36.694608",images/Windy Ridge Gated Manor - P004.png
P005,Bogani Park Villa,Sale,House,Nairobi,Karen,Off Bogani Rd,245000000,Luxury,6+,5+,1000,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Galleria Mall,Poor,16.0,Yes,No,Low,Low,Low,Yes,Yes,-1.334342,36.692894,"https://www.google.com/maps?q=-1.334342,36.692894","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.334342,36.692894",images/Bogani Park Villa - P005.png
P006,Hardy Manor Karen,Sale,House,Nairobi,Karen,Karen,130000000,Luxury,5,5+,450,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,No,No,Yes,Yes,No,Yes,Yes,The Hub Karen,Good,14.5,Yes,No,Low,Low,Low,Yes,Yes,-1.340441,36.707161,"https://www.google.com/maps?q=-1.340441,36.707161","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.340441,36.707161",images/Hardy Manor Karen - P006.png
P007,Mathenge Heights,Rent,Apartment,Nairobi,Westlands,General Mathenge Road,300000,Luxury,4,4,200,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sarit Centre,Good,3.5,Yes,No,High,Medium,Medium,Yes,Yes,-1.280204,36.790965,"https://www.google.com/maps?q=-1.280204,36.790965","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.280204,36.790965",images/Mathenge Heights - P007.png
P008,Peponi View Apartments,Rent,Apartment,Nairobi,Westlands,Peponi Road,330000,Luxury,3,3,180,Unfurnished,Yes,Excellent,Reliable,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Westgate Mall,Good,4.0,Yes,No,Medium,Low,Low,Yes,Yes,-1.261503,36.801348,"https://www.google.com/maps?q=-1.261503,36.801348","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.261503,36.801348",images/Peponi View Apartments - P008.png
P009,Raphta Heights Westlands,Rent,Apartment,Nairobi,Westlands,Westlands Area,95000,Mid-range,2,2,90,Unfurnished,Yes,Good,Reliable,Reliable,Fibre,No,No,No,No,Yes,Yes,Yes,Yes,Sarit Centre,Excellent,3.0,Yes,Yes,High,High,Low,Yes,Yes,-1.274387,36.802678,"https://www.google.com/maps?q=-1.274387,36.802678","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.274387,36.802678",images/Raphta Heights Westlands - P009.png
P010,Delta Riverside Apartments,Rent,Apartment,Nairobi,Westlands,Riverside,130000,Luxury,2,2,100,Unfurnished,Yes,Excellent,Borehole Backup,Backup Generator,Fibre,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Riverside Square,Good,3.2,Yes,Yes,Medium,Low,Low,Yes,Yes,-1.256717,36.785195,"https://www.google.com/maps?q=-1.256717,36.785195","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=-1.256717,36.785195",images/Delta Riverside Apartments - P010.png
